English,Japanese
SLAIN,slay の過去分詞
SLAKE,〈渇き〉をいやす / 〈石灰〉を消和する(水を加えて消石灰にすること) / 〈石灰が〉消和する
SLANG,"『俗語』,スラング / (特定集団の)『通語』,仲間言葉(jargon) / 〈人〉の悪口を言う,〈人〉をののしる"
SLANT,"『傾く,傾斜する』 / …を傾ける,傾斜させる / 《通例受動態で》(特定の立場・読者層に合わせて)〈事実・記事など〉を…向きに書く,ゆがめる《+『名』+『for』+『名』》 / 《a~》『傾斜』,傾き / 観点,見方,見解"
SLASH,"(刃・ナイフなどで)…をさっと切る・…をヒュッと打ち下ろす / 《通例受動態で》(裏地(下着)が見えるようにするため)〈衣服〉にあき口(スリット)を付ける・《通例受動態で》〈価格・数量など〉を大幅に切り下げる,大きく削減する・…をこき下ろす,酷評する・(…を)切り払う《+『at』+『名』》・〈雨が〉さっと打ちつける・さっと切りつけること,打ち下ろすこと・切り口,深い切り傷・(価格・数量などの)大幅切り下げ,大削減・(衣服の)あき口(スリット) ・斜線記号(/)"
SLATE,"〈U〉『板岩』 / 〈C〉(特に,屋根瓦用の)『スレート』,粘板岩の薄板 / 〈C〉(昔,筆記に用いた)『石板』 / 〈C〉《米》(党の)公認候補者名簿 / 〈U〉スレート色(濃い青みがかった灰色) / スレート色の / 〈屋根〉をスレート[様の材料]でふく / 《米話》《受動態で》…を選ぶ;…を予定させる / (新聞などで)…を酷評する"
SLATY,"スレートの,スレート状の"
SLAVE,"『奴隷』(どれい) / (欲望・習慣・職業などの)『とりこ』,(…に)ふける人《+『of』(『to』)+『名』》,(他人のために)あくせく働く人 / (奴隷のように)あくせく働く《+『away』》"
SLEEK,"(毛髪・毛皮などが)滑らかな,つやつやした / こぎれいな,身なりのきちんとした / 態度(言葉遣い)の洗練された;口先のうまい / …を滑らかにする,のつやを出す《+『名』+『down』(『back』),+『down』(『back』)+『名』"
SLEEP,"〈U〉『眠り』,『睡眠』[『状態』] / 〈C〉《a sleep》一眠り[の時間] / 〈U〉永眠,死 / 〈U〉(一時的な手足などの)無感覚,しびれ;冬眠(hibernation) / 〈U〉目やに / 『眠る』 / 『永眠する』,(死んで)葬られている / 〈人〉を泊める[設備がある] / 《a+形容詞+sleepを目的語にして》…を眠る"
SLEET,みぞれ / みぞれが降る
SLEPT,sleepの過去・過去分詞
SLICE,"(…の)(薄く切った平らな)『一枚』,一切れ《+『of』+『名』》・(…の)分け前(share),一部(part)《+『of』+『名』》・スライス(野球・ゴルフなどで,打球が打者のきき手の方向に飛ぶこと,またその打球) ・料理用へら,フライ返し / 〈パンなど〉を『薄く切る』《+『up』+『名,』+『名』+『up』》・…を薄く切り取る《+『off』+『名,』+『名』+『off』》・〈水など〉を切って進む・(野球・ゴルフなどで)〈ボール〉をスライスさせて打つ,きき手の方向に打つ・(水などを)切って進む《+『through』+『名』》 / (野球・ゴルフなどで)〈打者が〉ボールをスライスさせて打つ;〈ボールが〉スライスして飛ぶ"
SLICK,"滑らかな,すべすべした;滑りやすい / 巧妙な,思いつきのよい / 口先のうまい,ずるい,こすい / (文体などが)一見魅力的な / 水面の油,油膜 / 《米話》(上質紙を使った)豪華雑誌(《英》glossy [magazine]) / …を滑らかにする"
SLIDE,"『滑る』,滑って進む《+『on』(『down』)+『名』》 / (ある場所から)(バランスを崩して)〈人が〉『つるりと滑る』,〈物が〉するっと動く《+『from』(『out of』)+『名』》・(ある状態・習慣などに)いつの間にか陥る《+『into』+『名』》・〈時が〉いつの間にか過ぎ去る《+『by』(『past』)》・(…に,…から)(滑るように)そっと動く,人目に立たないように動く《+『into』(『out of』,『from』)+『名』(do『ing』)》・(野球で,走者がタッチを避けようとして,ベースに)滑り込む《+『in』(『into』)+『名』》・《副詞[句]を伴って》…を滑らせる / (…に)…をそっと入れる,滑り込ませる《+『名』+『into』(『under』)+『名』》 / 落ちること,下落 / 滑ること,ひと滑り・滑る面;滑り台・(写真の)スライド・(顕微鏡の)スライド,検鏡板・《複合語を作って》「地滑り,なだれ」の意を表す"
SLIME,"ねば土; (カタツムリ・魚などの)粘液, ぬめり; 嫌な物・ねば土[粘液]を塗る[除く,で覆う]・どろどろ[ぬるぬる,ねばねば]するもの; (川底などの)軟泥,へどろ"
SLIMY,"ねば土の;粘液の;どろどろした,ぬめぬめした / きたならしい,いやらしい"
SLING,"(荷物などをつり上げるための)つり縄,つり鎖 / (銃などの)つり革,負い革 / (負傷した腕などを首からつるための)つり包帯,三角巾(きん)三角巾で腕をつっている / (昔武器に使った)投石器 / 《米》=slingshot / (力まかせに)投げること;(投石器などによる)投石,投げ / (つり縄などで)〈荷物など〉をつり上げる(降ろす),つって運ぶ / 〈銃・ハンモックなど〉をつるす,かける / 《副詞[句]を伴って》〈石〉を投石器で投げる(一般に)…を投げる"
SLINK,こっそり動く
SLIPS,スリップ(クリケットで三柱門から数ヤード後方の打者から見て左側の位置;その位置にいる2名の選手) / 《英》(劇場の)最上段の両側の席
SLOOP,(1本マストの)スループ型帆船 / スループ型砲艦
SLOPE,"『傾斜する』,坂になる / …を傾斜させる,に勾配をつける / 〈C〉『坂』,斜面,スロープ / 〈C〉〈U〉『勾配(こうばい)』,傾斜"
SLOSH,《副詞[句]を伴って》(泥水・水をはねながら)バチャバチャ歩く / 〈液体が〉はね返る / 〈液体など〉をはね返す;(液体の中で)〈物〉をかき混ぜる / 《英俗》…を打つ
SLOTH,"〈U〉怠惰,ものぐさ / 〈C〉ナマケモノ(熱帯アメリカに住む哺乳(ほにゅう)動物)"
SLUMP,"(…に)くずれるように落ちる(倒れる,沈み込む)《+『down on』(『to』)+『名』》 / 〈健康・人気などが〉急激に衰える,〈相場などが〉暴落する《+『down』》 / 《おもに米》不調,不振,スランプ / (景気・人気などの)急な衰え,(相場などの)暴落《+『in』+『名』》(反意語はboom)"
SLUNG,slingの過去・過去分詞
SLUNK,slinkの過去・過去分詞
SLURP,…を音をたてて飲む(食べる) / 音をたてて飲む(食べる)
SLUSH,解けかかった雪(氷);ぬかるみ / くだらない感傷的な文(映画など)
SMACK,"(…の)味,風味《+『of』+『名』》 / (…)らしいところ《+『of』+『名』(do『ing』)》 / 《『smack of』+『名』》(…の)味(香り)がする;(…の)気味がある / 舌打ち,舌鼓 / チュッと音のするキス / 平手打ち / ドスン(ガツン)という音 / …にチュッとキスする / …をパチリ(ピシャリ)と打つ / 舌打ちをする,(…に)舌鼓を打つ《+『at』+『名』》 / 音を立ててぶつかる / 激しく,ピシャリと / (また《米》『smack-dab』)まともに,じかに / 1本マストの小型魚船"
SMALL,"(大きさが)『小さい』,小形の;(量が)『少ない』,わずかな / 『取るに足りない』,ささいな(trivial) / 《名詞の前にのみ用いて》(仕事・活動などが)『小規模の』,ささやかな / 心が狭い,利己的な / (音・声が)弱い,小さい / (文字が)小型の,小文字の / 《the~》小さいもの;(…の)細い部分《+『of』+『名』》 / 《複数形で》《英》(衣類・ハンカチなどの)小物,小間物 / 小さく,細かく / (声などが)低く,弱く / 小規模に,こぢんまりと"
SMART,"(頭の働きが)機敏な,気のきいた,抜け目のない;悪知恵が働く;(動作が)機敏な,てきぱきした(lively)・現代風の,流行の(fashionable) ・(人・服装などが)きちんとした,いきな,スマートな・ずきんとくる,厳しい,激しい・〈物事が〉ずきんとこたえる・〈傷口などが〉(…が原因で)ずきずき痛む,うずく《+『from』+『名』》・(…で)〈人が〉ずきんと心が痛む《+『from』(『under』)+『名』》・(心・傷口などの)鋭い痛み,うずき《+『of』+『名』(do『ing』)》"
SMASH,"…を『粉々にする』(shatter);…を打ち砕いて(…に)する《+『名』+『to』(『into』)+『名』》・…をガン(ガシャン)と打つ(打ちつける);…の(…を)強打する《+『名』+『on』+『名』》・…を完全に壊する,打ち負かす《+『名』+『up,』+『up』+『名』》 / (テニス・卓球などで)〈球〉をスマッシュできめる・〈物が〉『粉々に砕ける』《+『up』》;砕けて(…に)なる《+『to』(『into』)+『名』》・(…に)ガン(ガシャン)とぶつかる,衝突する《+『into』(『through』,『against』)+『名』》・(テニス・卓球などで)スマッシュを打つ / (…が)『粉々になること』,粉砕,衝突;(物の)壊れる音,(衝突の)大音響《+『of』+『名』(do『ing』)》・大成功,大当たり / (テニス・卓球などで)スマッシュ・大成功の,大当たりの・ガシャンと;まともに"
SMEAR,"(油性・粘着性のものを)…に塗る,(…で)…を汚す《+『名』+『with』+『名』〈油など〉》 / (…に)〈油など〉を塗りつける《+『名』〈油など〉+『on』(『over』)+『名』》 / …をこすって不明瞭にする,消す / 〈人の名誉など〉を傷つける,中傷する / 汚れる / かすれる,分鮮明になる / (油などの)汚れ,しみ / 中傷 / (顕微鏡で見るためスライドに塗った)塗布[標本]"
SMELL,"(調べたりするために)…を『かぐ』,のにおいをかぐ / …をにおいで気づく,のにおいに感づく / …に感づく,をかぎ出す《+『out』+『名』,+『名』+『out』》 / 〈物が〉『においがする』,におう / 〈人・動物が〉においがわかる;(…の)においをかぐ《+『at』+『名』》 / (特に)いやなにおいがする / 〈物事が〉何かにおう,(…の)感じがする《+『of』+『名』(doing)》 / 〈U〉『嗅覚』(きゅうかく) / 〈C〉(…の)『におい』《+『of』+『名』(do『ing』)》;《形容詞句を伴って》悪臭 / 〈C〉《a smell》(…を)かぐこと《+『at(of)』+『名』》"
SMELT,smellの過去・過去分詞 / 〈鉱石〉を溶解する / (溶解して)〈金属〉を精錬する / キュウリウオ(欧州産のサケに類する食用魚)
SMILE,"『ほほえむ』,にっこりする・〈好運・神などが〉(…に)好意を示す《+『on』(『upon』)+『名』》・《a+形容詞+smileを目的語にして》…な笑い方をする・…をほほえんで示す・〈人〉にほほえみかけて(…)させる(させない)《+『名』〈人〉+『into』(『out of』)+『名』(do『ing』)》・『ほほえみ』,微笑"
SMIRK,"(…を)にやにや(にたにた)笑う《+『at』(『on, upon』+『名』)》 / にやにや笑い"
SMITE,《古・文》(手・武器などで)…の(…を)強く打つ《+『名』+『on』+『名』》 / 《文》〈病気・災難などが〉…をどんと襲う / 《通例受動態に用いて》〈感情・恐怖などが〉…を激しく襲う《+『名』+『by』(『with』)+『名』》
SMITH,かじ屋;金属細工人 / 製造(製作)人
SMOCK,"上っ張り,スモック(婦人・子供・画家・事務員などがはおる)"
SMOKE,"〈U〉『煙』;煙状のもの / 〈C〉たばこの一服,喫煙 / 〈C〉《話》たばこ,(特に)紙巻きたばこ / 『煙を出す』,煙る;湯気を立てる / 『たばこを吸う』 / 〈たばこ・麻薬など〉を『吸う』 / 〈肉・魚〉を『薫製』(くんせい)『にする』,いぶす"
SMOKY,"(特にたくさん)煙を出す,もくもくと煙の出る / 煙でいっぱいの / (性質・外観などが)煙のような"
SMOTE,smite の過去
SNACK,"(特に食事と食事の間にとる)『軽食』,スナック / 軽い食事をとる;間食する"
SNAIL,カタツムリ
SNAKE,"『ヘビ』(『蛇』) / (蛇のように)ずるく陰険な人 / へび(配水管などの詰まった物を取り除く道具) / 蛇行する,くねくねと続く / 〈体など〉をくねらす / 《米》〈材木など〉を引っぱる,引きずる"
SNAKY,"蛇の;蛇のような;うねうねした / 蛇の多い,蛇がよく出る / ずるい,陰険な,邪悪な"
SNARE,"(小動物を捕らえる)『わな』《+『for』+『名』》 / (人を陥れる)『わな』,落とし穴《+『for』+『名』》 / 〈小動物〉をわなにかける〈人〉をわなにかける,陥れる / (小太鼓の)さわり弦,響線"
SNARL,"(…に)〈犬などが〉歯をむいてうなる《+『at』+『名』》 / (…に)〈人が〉どなる,がみがみ言う《+『at』+『名』》 / 〈言葉など〉をどなるように言う / (犬などの)うなり / ののしり / (髪・糸などの)もつれ《通例a ~》 / 混乱[状態],紛糾 / 〈髪・糸〉をもつれさせる / 〈交通など〉を混乱させる《+『up』+『名』,+『名』+『up』》 / もつれる;混乱する"
SNEAK,"《場所・方向などを表す副詞[句]を伴って》こそこそ動く / 卑劣なことをする;《英学生俗》先生に告げ口する / …をこっそり取る;《話》…を盗む / 卑劣な人,こすい人;先生に告げ口する人 / こそこそやること"
SNEER,"(口をゆがめて)(…を)あざ笑う《+『at』+『名』(do『ing』)》 / …をあざけって言う / (…に対する)あざ笑い,あざけり《+『at』+『名』》"
SNICK,"(はさみなどで)…をぱちんと切り取る,…に刻み目をつける / (クリケットで)〈球〉を切って打つ / ぱちっと切ること;刻み目 / (クリケットで)球を切って打つこと"
SNIDE,"皮肉たっぷりの,当てこすりの"
SNIFF,"(…を)『かぐ』,〈犬が〉(…を)くんくんかぐ《+『at』+『名』》 / (軽べつ・不満などを示して)(…に)フンと鼻をならす《+『at』+『名』》 / …の『においをかぐ』,鼻で吸う / くんくんかぐこと(音)《+『of』+『名』》"
SNIPE,"シギ(湿地帯に生息するくちばしの長い鳥) / (…を)(隠れた場所から)狙撃(そげき)する《+『at』+『名』》 / (匿名などで人・作品を)中傷する,けなす / シギ猟をする"
SNIPS,(金属板を切る)手ばさみ
SNOOD,(女性が後ろの髪を束ねる)ヘアネット;ヘアネット式の帽子
SNOOK,親指を鼻先に当て他の4本の指を広げて動かしたりする軽べつ(不信など)のしぐさ
SNOOP,うろうろのぞき回る / のぞき回る人
SNOOT,鼻(nose)
SNORE,いびきをかく / いびき
SNORT,〈動物が〉強く鼻を鳴らす / (軽べつ・不満・怒りなどを表して)〈人が〉(…に)鼻を鳴らす《+『at』+『名』》 / …を鼻息荒く言う / 《米俗》〈コカインなど〉を吸い込む / 鼻を鳴らすこと(音) / 《話》(ウイスキーなどの)ぐい飲み
SNOUT,"(豚などの突き出た)鼻;鼻先(口とあごも含むことがある) / 鼻先に似たもの;筒口,管先など / 〈U〉刻みたばこ / 〈C〉巻きたばこ"
SNOWY,"『雪の』,『雪の降る』 / 雪におおわれた,雪深い / 雪のように白い"
SNUCK,sneakの過去・過去分詞
SNUFF,"〈C〉くんくんとかぐこと / 〈U〉かぎたばこ / …をくんくんかぐ(sniff);…を鼻から吸う / (…を)くんくんかぐ《+『at』+『名』》 / 〈ろうそくなど〉のしんを切る / 死ぬ,終わる"
SO SO,"よくも悪くもない,まあまあの / まあまあ,可もなく不可もなく = so-so"
SOAPY,"石けんの;石けんの入った;石けんにまみれた / 石けんに似た;すべすべした,なめらかな / 《話》(人・物腰などが)へつらう"
SOBER,"(酒に)『酔っていない』,しらふの;(ふだん)酒を飲まない / 『まじめな』,謹厳な,重々しい / (色彩・衣服などが)『はででない』,落ち着いた,地味な / 『冷静な』,分別ある / 〈人〉の酔いをさまさせる《+『名』+『up,』+『up』+『名』》 / 〈人〉を冷静にする《+『名』+『down,』+『down』+『名』》 / 酔いがさめる《+『up』》 / 冷静になる《+『down』》"
SOFTY,めそめそした人;軟弱な人
SOGGY,"(特に地面が)水浸しの,びしょぬれの / (生焼けのパンなどが)湿って重い"
SOLAR,"『太陽の』,太陽からの;太陽の作用による"
SOLFA,ドレミファ音階;ドレミファで歌うこと = sol-fa
SOLID,"『固体の』,『固形の』 / 『うつろでない』,中身のつまった / (物質の)密度が高い,密な;(印刷の)行の詰まった / 《名詞の前にのみ用いて》『混じりもののない』,純正の / (構造的に)『堅固な』 / (人が)『信頼できる』,堅実な / 健全な,しっかりした / 一致した,団結した / (時間が)まるまる,切れ目のない;(物が)連続した / 三次元の,立体の,立方の / 『固体』,固形物 / 立方体"
SOLVE,"〈問題など〉を『解く』,解明する,解決する"
SONAR,音波水中探知機[sound navigation ranging の頭字語]
SONIC,音の(に関する) / 音速の
SONNY,"〈C〉(呼びかけで)坊や,ぼっちゃん"
SONSY,"(女性が)丸ぽちゃの,健康な;気だてのよい,快活な(buxom)"
SOOTH,"真実,事実(truth)"
SOOTY,"すすでおおわれた,すすで汚れた / すすの,すすのような"
SOPPY,"びしょびしょの;(天気が)雨ふりの(rainy) / 《英話》ひどく涙もろい,めそめそした"
SORRY,"《補語にのみ用いて》『悲しいと思う』,すまないと思う,残念に思う / 《名詞の前にのみ用いて》くだらない,貧弱な / 《名詞の前にのみ用いて》哀れな,惨めな / 《丁重な断り・謝罪・弁解の表現として》すみませんが,悪いけど,ごめんなさい / 《おもに英》《よく聞きとれなかったときに用いて》おそれいりますが[もう一度]"
SOUGH,風がヒューヒュー鳴る / 風がヒューヒュー鳴る音
SOUND,"〈C〉〈U〉『音』,『音響』,響き・〈U〉音の聞こえる範囲・〈C〉(音声としての)音 / 《単数形で》(聞いたり,読んだりしたときに受ける)感じ,響き,調子・〈U〉(無意味な)音(声);騒音,ざわめき・『音を出す』,鳴る,響く・『聞こえる,思える』(進行形にできない) ・〈楽器・ベルなど〉を鳴らす・(音で)…を知らせる・…を発音する・〈考えなど〉を打診する / (物が)『傷んでいない』,腐っていない,完全な / (心身が)『健全な』,健康な / (財政的に)『安定した』,堅実な / (論理・判断などが)『的確な』,もっともな,分別ある / 合法的な / (道徳的に)高潔な,誠実な / (睡眠が)深い / 徹底した,思う存分の / ぐっすりと / (重りのついた糸で)〈海・川など〉の水深を測る / (…について)〈意見・態度など〉をさぐる,調べる《+『名』+『out』(+『out』+『名』)+『about』+『名』》 / 水深を測る / 〈鯨・魚などが〉深く潜る / 海峡,瀬戸(strait) / 入り江"
SOUPY,"(霧が)スープのように濃い, どろっとした; どろどろした・ひどく感傷的な,涙もろい"
SOUSE,"(水などに)…を入れる,突っ込む《+『名』+『in』(『into』)+『名』〈水など〉》 / …をずぶぬれにする / …を酢(塩水)につける / 《米》…を酔わせる / 水につかる,ずぶぬれになる / 《米》酔っ払う / (豚の足などの)塩づけ / (つけ物の)塩づけ汁,塩水 / 《米》大酒飲み,酔っ払い"
SOUTH,"〈U〉《通例the south》『南』,南方 / 《the south, the South》南方[地方] / 《the South》(米国の)南部地方 / 『南の』,南部の,南向きの;南からの / 『南の方へ(に)』"
SOWER,種子をまく人(機械) / (うわさ・紛争などを)まき散らす人
SPACE,"〈U〉『空間』,広がり / 〈U〉『宇宙』,地球の大気圏外(outer space) / 〈C〉〈U〉『間隔』,距離;《しばしば複数形で》空地 / 〈C〉(特定目的のための)『場所』 / 〈U〉《しばしばa~》時間 / 〈C〉〈U〉スペース,余白,余地 / 〈C〉線間(譜表において五線の間の部分) / …を間隔をおいて配置する《+『out』+『名,』+『名』+『out』》"
SPADE,"『すき』,踏みぐわ(シャベルを違って金属部分が平ら) / 〈土など〉をすきで掘る / (カードの)スペードの札;《複数形で》スペードの札1組"
SPAKE,(古語・詩)speakの過去
SPANK,(罰として平手などで)…のしりをピシャリと打つ / (しりへの)平手打ち
SPARE,"…を『容赦する』,の命を助ける / 《『spare』+『名』〈人〉+『名』〈苦労〉》〈苦痛・苦労など〉を〈人〉にさせない / 《通例否定文で》〈時間・労力など〉を『惜しむ』,控える / 〈労力・時間など〉を『さく』,割愛する;…をなしですませる / (ある目的のために)…を取っておく,残しておく《+『名』+『for』+『名』》 / (物が)『予備の』;(時間・金が)余分の / (食事などが)質素な;乏しい / やせた(lean) / {名}予備の品(部品),スペア / (ボウリングで)2回の投球でピンを全部倒すこと"
SPARK,"〈C〉『火花』,火の粉;(電気の)スパーク;(一般に)閃光(せんこう),(宝石などの)きらめき / 〈C〉(人などの)活気,生気;(才気などの)ひらめき《+『of』+『名』》 / 〈C〉(事件などの)発端,発火点 / 《a spark》ほんの少し(の…)《+『of』+『名』》 / 火花を出す;閃光を発する;〈電気が〉スパークする / 〈人〉をかり立てて…させる《+『名』〈人〉+『to』(『into』)+『名』(do『ing』)》"
SPASM,(筋肉などの)けいれん / (感情・活動などの)発作《+『of』+『名』》
SPATE,"《しばしばa ~》《おもに英》大量,多数(の…)《+『of』+『名』》 / (突然の)洪水,鉄砲水"
SPAWN,"(魚・カエルなどの)卵 / 〈卵・子〉を産む / 〈物事〉を生み出す,引き起こす;…を大量に生じる / 産卵する"
SPEAK,"『話す』,しゃべる,物を言う,口をきく / 『話をする』,うわさをする / 『演説する』,講演する,スピーチをする / 〈物事が〉表す,物語る / 〈楽器・大砲などが〉音を出す,鳴る / 〈言葉・意見など〉を『言う』,話す,述べる / 〈言語〉を『話す』,使う / 〈物事が〉…を表す,物語る,示す / (海で)〈他船〉と通信する,通話する / …を表す,であることを示す"
SPEAR,"『やり』;(魚を突く)やす / (植物の)芽,新芽 / …をやり突く / (植物が)芽を出す"
SPECK,"『しみ』,汚点 / 《否定文で》(…の)小片,みじん《+『of』+『名』》 / …にしみをつける"
SPECS,=spectacles / =specification
SPEED,"〈U〉(運動・動作の)『速いこと』,速さ・〈C〉『速度』,速力(velocity) ・〈C〉(自動車などの)変速ギア・〈U〉〈C〉(写真で) / (フィルムの)感度,感光性 / レンズの明るさ・シャッター速度・覚醒(かくせい)剤,興奮剤 / ・『急ぐ』,疾走する・《通例現在分詞形で》制限速度以上で運転する,反則の速度で走る・〈仕事・車など〉の速度を上げる"
SPELL,"〈語〉を『つづる』,のつづりを言う(書く) ・〈…の文字が〉〈語〉の『つづりである』・(受動態にできない) ・(結果として)…を招く,意味する・語をつづる,語のつづりを言う(書く) / 『呪文』(じゅもん)まじない;魔法にかかった状態,呪縛(じゅばく) / 《単数形で》魅力,魔力 / しばらくの間,一時 / (ある天気の)『ひと続き』 / (病気などの)『ひとしきり』,発作 / ひと仕事,(仕事の)交替 / (…を)〈人〉と交替する《+『名』+『at』+『名』(do『ing』)》"
SPELT,spellの過去・過去分詞
SPEND,"(…に)〈金〉を『使う』《+名〈金〉+on(『for』)+『名』》 / 〈時〉を『過ごす』 / 《文》〈力など〉を使い果たす,〈自分〉の力を使い果たす / 金(財産など)を使う;浪費する"
SPENT,spendの過去・過去分詞 / 疲れきった / 使い尽くした
SPERM,〈C〉精子 / 〈U〉精液
SPICE,"〈C〉(こしょうなど,個々の)『薬味』;〈U〉《集合的に》『香辛料』,スパイス / 〈U〉ぴりっとするもの,妙味 / 《a ~》(…)気味,(…)らしいところ《+『of』+『名』》 / 〈料理など〉に薬味を加える(薬味で)〈料理〉を調味する《+『名』+『with』+『名』》 / (…で)〈話など〉に趣を添える,おもしろ味を加える《+『名』+『with』+『名』》"
SPICY,"(料理などが)薬味のきいた,風味のある:spicy food・(批評など)ぴりっとした;(言葉など)きわどい"
SPIEL,"(説得のための)多彩なおしゃべり,口先だけの話,客寄せ口上"
SPIKE,大くぎ;(鉄道用)いぬくぎ / (へいの忍び返しなどの)先のとがった突起 / スパイク(野球・陸上競技用の靴底の金具) / (…に)…を大くぎで打ちつける《+『名』+『to』+『名』》 / …に大くぎ(スパイク)を打ちつける / 〈人〉をスパイクシューズで傷つける;スパイクする / (麦などの)穂 / (オオバコなどの)穂(すい)状花序
SPIKY,くぎの先端があちこちに出ている;くぎだらけの / くぎのようにとがった / 《話》がんこな
SPILL,"(特に,うっかりして)〈液体・粉など〉を『こぼす』 / 《しばしば受動態で》《おもに文》(人を傷つけて)〈血〉を流す / 〈馬・車などが〉〈人など〉をほうり出す,振り落す / 《話》〈秘密など〉をもらす;(…に)…をもらす《+『名』+『to』+『名』》 / 〈液体・粉などが〉『こぼれる』,流れ出る / こぼれること,こぼすこと / こぼれたもの / 落ちること;落馬 / (点火用の)付け木,こより"
SPILT,spillの過去・過去分詞
SPINE,"(またspinal column,《話》backbone)せき柱,背骨 / (書物などの)背 / (ヤマアラシ・サボテンなどの)針,とげ"
SPINY,"とげのある,とげだらけの / とげ状の,とげのような"
SPIRE,(教会などの)『尖塔』(せんとう);(尖塔の)とがり屋根 / 先のとがった物 / らせん;その一巻き
SPIRT,=spurt
SPITE,"悪意,意地悪 / 《a ~》(…への)恨み《+『against』(『at』)+『名』》 / 〈人〉に意地悪をする,を困らせる"
SPLAT,"(いすの背の)薄板,背板 / (水などをはねかえすときの)ジャブジャブ(バチャバチャ)という音"
SPLAY,"外側へ広がった(開いた) / ぶざまな,ぶかっこうな / 斜面,隅切り(窓や扉の両側面の壁が傾斜した部分) / …を広げる,伸ばす / …を斜めにする;〈窓や扉[の壁面]〉に斜角をつける"
SPLIT,"…を『縦に割る』,裂く / …を分割する,ばらばらに分ける / 〈利益など〉を『分配する』,分け合う;〈費用など〉を分担する《+『up』+『名』,+『名』+『up』》 / 『割れる』,裂ける / 『壊れる』,砕ける,破裂する;(部分などに)分かれる,分裂する《+『up』》;(…と)けんかする《+『with』+『名』》 / (急いで)去る,帰る(leave);姿を消す / (…の)割れ(裂け)目;ひび《+『in』+『名』》 / 仲間割れ,分裂 / 分け前 / 《しばしば複数形で》(曲芸などの)大股(おおまた)開き / (ボウリングで)スプリット(残ったピンが離れていてスペア(spare)を取りにくい形になること) / 《話》(ソーダ・アルコール飲料などの)小びん / (縦に)裂けた,割れた / 分裂した,分割された"
SPOIL,"〈物事〉を『だいなしにする』,損なう / 〈子供など〉を『甘やかしてだめにする』,増長させる / 《古》(…を)…から奪う《+『名』+『of』+『名』》 / 〈物が〉『だいなしになる』,だめになる / 〈C〉《複数形で》『略奪品』,強奪品,戦利品 / 〈C〉《複数形で》《おもに米》(政権をとった政党が支持者に与える)利権,役職 / 〈U〉(採鉱・発掘などの際に廃棄される,土・石などの)くずもの"
SPOKE,"speakの過去 / (車輪の)輻(や),スポーク / 輪止め / (はしごの)段"
SPOOF,"…をだます,かつぐ(deceive) / …のまねをしてからかう,をひやかす(mock) / (軽く陽気に)ちゃかす / 人をだます(かつぐ)こと / (陽気で悪意のない)もじり,ちゃかし"
SPOOK,"幽霊(ghost) / …をびっくりさせる,ぎょっとさせる / 〈幽霊などが〉…に出没する,出る"
SPOOL,《米》糸巻き(《英》reel) / (フィルムの)スプール;(タイプライターのリボンの)スプール;(録音テープなどの)リール / 糸巻1巻分の糸;リール1巻分のテープ(など) / 〈糸など〉を糸巻きに巻く
SPOON,"『スプーン』,さじ;さじ状のもの / (…の)スプーン1杯[の量](spoonful)《+『of』+『名』》 / 〈スープ・食べ物など〉をスプーンですくう《+『out』(『up』)+『名,』+『名』+『out』(『up』)》 / 《話》《まれ》愛撫(あいぶ)する,いちゃつく"
SPOOR,"(野獣の)足跡,臭跡"
SPORE,胞子;胚種
SPORK,スポーク
SPORT,"〈U〉《集合的に》『スポーツ』,運動競技 / 〈C〉(個々の)『スポーツ』,運動競技 / 《複数形で》《英》運動会,競技会 / 〈U〉『気晴らし』,慰め,娯楽 / 〈C〉《話》スポーツマンらしい人,さっぱりした人,いい人 / 〈C〉(動・植物の)変種(mutant) / スポーツの;スポーツ用の / (服装が)戸外の着用に適した,軽快な / 〈衣服など〉を見せびらかす / 《文》(気晴らしなどで)楽しむ,遊ぶ / からかう"
SPOUT,"〈水・煙など〉を吹き出す / 〈意見など〉をとうとうと述べる(まくしたてる) / 〈水・煙などが〉吹き出る,噴出する《+『out』》 / とうとうとまくしたてる / (やかん・ポンプなどの)口,噴出口 / (液体などの)噴出,ほとばしり《+『of』+『名』》"
SPRAT,スプラットイワシ
SPRAY,"(花・葉・実をつけた)小枝;小枝形の装飾;小枝模様 / 〈U〉(水や他の液体の)『しぶき』,水煙 / 《a~》(…の)しぶき,噴霧《+『of』+『名』》 / 〈U〉〈C〉噴霧液,散布液 / 〈C〉噴霧器,スプレー / (…に)…を『吹きかける』《+『名』+『on(upon)』+『名』》 / (…に)しぶきをかける,しぶきになって出る《+『on(over)』+『名』》"
SPREE,"ばか騒ぎ,浮かれ;酒宴"
SPRIG,(花や葉のついた)小枝 / (織物・壁紙などの)小枝 / 《軽べつして》若造 / 〈つぼ・布地など〉を小枝模様で飾る
SPUME,あわ(foam) / あわ立つ
SPUNK,"勇気,気力"
SPURN,"〈申し出・人など〉をはねつける,相手にしない"
SPURT,"〈液体などが〉噴出する,ほとばしる《+『out』》 / スパートする,力走(力泳)する / 〈液体など〉を噴出させる,ほとばしらせる / (液体などの)噴出,ほとばしり;(感情・エネルギーなどの)激発 / (レースの途中や最後の)力走,力泳,力闘"
SQUAB,(食用の)ひなバト
SQUAD,"(軍隊の)分隊 / (一般に少人数の)班,団,組;(運動競技などの)チーム"
